粵語,標準漢語1,標準漢語2
唔衰衰,沒事找事兒,自討苦吃
唔熟唔食,不吃未煮熟的東西,
唔熟性,不懂人情世故,不會做人
唔湯唔水,(事情弄得)不三不四,不像樣
唔似,不如,比不上他
唔似得,(沒有對應詞彙),
唔似樣,不像話,
唔切,來不及,
唔通氣,不識趣,不知趣
孖辮,(梳成兩根的)辮子,
孖份,合伙,
孖煙通,(沒有對應詞彙),
孖鋪,(沒有對應詞彙),
媽媽生,女性舞女大班,
媽媽聲,罵娘,嘴裏不乾不淨地罵人
媽咪,媽媽,
媽咪,妓女領班,
媽姐,女傭人,
麻雀館,(沒有對應詞彙),
麻甩佬,缺德鬼,
麻麻,不怎麼樣,不算好
馬膽,(沒有對應詞彙),
馬仔,狗腿子,爪牙
馬經,(沒有對應詞彙),
馬季,(香港的)賽馬季節,
馬纜,(沒有對應詞彙),
馬迷,賭馬迷,
馬尾,(沒有對應詞彙),
馬牌,(沒有對應詞彙),
馬死落地行,(沒有對應詞彙),
馬蹄粉,荸薺粉,
馬場,賽馬場,
馬王,(沒有對應詞彙),
馬會,香港賽馬會,
埋單,結帳,付帳
埋站,(公共汽車等)靠站,到站
埋席,入席,
埋去,(走)過去,靠上去
埋,過來,上前來
埋尾,收尾,結尾
埋手,入手,下手
埋數,算帳,結算
埋頭埋腦,埋頭,專心致志的
埋位,入席,就位
買花戴,(沒有對應詞彙),
買起,僱(或派)殺手殺人,懸賞殺人
買殼,(沒有對應詞彙),
買盤,(沒有對應詞彙),
買手,採購員,
買水,(沒有對應詞彙),
買位,(沒有對應詞彙),
賣,登載,發佈
賣埠,(沒有對應詞彙),
賣鹹鴨蛋,(沒有對應詞彙),
賣鹹魚,死亡,死了
擘面,翻臉,跟人鬧翻
,扣(板機),扳
,扶,搭
車邊,搭順風車,搭腳
晚頭黑,(沒有對應詞彙),
慢火,(火)不旺,小(火)
萬壽果,木瓜,
盲婚,包辦的婚姻,
盲婚啞嫁,包辦的婚姻,
盲公竹,導引棒,指點迷津的
盲年,(沒有對應詞彙),
盲頭烏蠅,(沒有對應詞彙),
猛咁,使勁兒地,起勁地
猛人,闊佬,要人
咪,(用指甲)掐,
咪,啃(書),用功
米飯班主,可以為人提供衣食之源的人,衣食父母
米舖,糧店,
米水,淘米水,泔水
米通,(沒有對應詞彙),
咪住,且慢,慢著
咪……住,先別……,
嘜,筒,
嘜頭,相貌,樣子
脈門,(沒有對應詞彙),
屎,雀斑,
蚊都啦,(沒有對應詞彙),
蚊,(沒有對應詞彙),
蚊雞,元,塊(錢)
蚊型,小型的,規模小的
文膽,(沒有對應詞彙),
問吊,被處絞刑,被絞決
問起,問倒了,被問題難住了
問題少年,(沒有對應詞彙),
,暴躁,煩躁
,暴躁,煩躁
乜,甚麼,啥
乜都假,說啥也不行,怎麼說也不行
乜東東,甚麼東西,啥玩意兒
乜滯,(沒有對應詞彙),
乜話,甚麼,怎麼
乜乜物物,這個那個的,這樣那樣的
物有所值,(商品)質量與價值相稱,值得
物似主人形,有其人則必有其物,觀其物可以知其人
密底算盤,(沒有對應詞彙),
密斟,密談,密商
蜜蠟,蜂蠟,黃蠟
墩,失業,
街,(因沒有居所)在街上度宿,
監,蹲監獄,坐牢
廁,蹲式廁所,
仔,背孩子,背幼兒
飛,"承擔責任(或後果,麻煩事等)",挑大樑
數,承擔開支,承擔債務
歪身歪勢,(沒有對應詞彙),
屘,後,末尾
屘屎,倒數第一,最後一名
眉豆,白豇豆,
尾牙,(沒有對應詞彙),
未有耐,還早著呢,還有好長時間才……
味水,潛水,
棉褸,棉大衣,
綿羊,摩托車,電單車
面左左,(沒有對應詞彙),
面珠墩,臉蛋,臉頰(多用以指小孩)
面紅紅,臉紅紅的,
面懵心精,(沒有對應詞彙),
面皮厚,栗臉皮,不害臊
面豉,豆瓣醬,
面黃黃,臉色枯黃,
明火,用猛火煮成的,
滅火喉,消防水管,消防水龍頭
摸身摸勢,(對女性)動手動腳,東摸西捏
剝花生,陪著人家談情說愛。,
望天打卦,靠天吃飯,
毛瓜,(沒有對應詞彙),
無端白事,無緣無故,平白無故
無厘頭,(說話)不合理,令人摸不著頭腦
無上裝,(沒有對應詞彙),
無他,沒有其他原因,沒別的緣故
無情白事,(沒有對應詞彙),
無情雞,(沒有對應詞彙),
冇膽匪類,沒有膽量的匪徒,
冇啖好食,吃也沒有一口好吃的,
冇得,(沒有對應詞彙),
冇得頂,沒有甚麼能超過它的,沒有甚麼能抵擋它的
冇得傾,沒甚麼好商量的,
冇得撈,沒活幹,混不下去
冇定準,不一定的,不固定的
冇定性,心野,不專心
冇走雞,有把握,十拿九穩
冇精神,沒精神,精神狀態差
冇,沒了,沒有了
冇符,亳無辦法,束手無策
冇家教,沒教養的,
冇交易,不成交,生意做不成
冇計,不用計較,
冇咁大個頭唔好戴咁頂帽,沒那麼大的頭就不要戴那麼大的帽子,
冇幾何,不常,不經常
冇記性,記憶力差,健忘
冇口齒,言而無信的,不講信用的
冇行,沒希望,沒指望
冇人有,世間少有,沒見過(略帶誇張)
冇有怕,不用怕,
冇益,無益,沒好處
冇掩雞籠,出入自便,
冇腰骨,沒脊梁骨,沒骨氣
冇厘搭霎,(沒有對應詞彙),
冇厘神氣,無精打采的,
冇理由,沒道理,不合道理
冇料,沒水平,沒學問
冇米粥,沒有米的稀飯,
冇乜,沒怎麼,不怎麼
冇呢支歌唱喇,(沒有對應詞彙),
冇腦,沒有智慧,
冇譜,離譜,不像話
冇晒符,毫無辦法,一點轍兒都沒有
冇晒表情,(沒有對應詞彙),
冇心機,不專心,不用心
冇手尾,(沒有對應詞彙),
冇聲氣,沒消息,沒動靜
冇時定,經常變化,沒有固定的時候
冇時閑,(忙得)一點空兒也沒有,
冇時閑,(小孩)沒一刻安生,
冇時冇候,(時間)沒個準點兒,
冇相干,毫不相干,不相干
冇穿冇爛,無病無災,
冇話,從來不會,從來沒有
母帶,(沒有對應詞彙),
舞小姐,舞女,
妹釘,小女孩,小丫頭
媒人婆,媒婆,
媒氣喉,媒氣管道,
媒屎,媒煙灰,
每口價,(沒有對應詞彙),
木口木面,(沒有對應詞彙),
木糠,鋸末,
木頭車,(沒有對應詞彙),
門鐘,門鈴,電門鈴
滿肚密圈,心中很有策略或主意,
矇豬眼,(沒有對應詞彙),
懵,昏迷,迷糊
矇查查,朦朦朧朧,
矇查查,糊里糊塗,不知就裏
□,牽連,關係(作名詞用)
型,娘娘腔,女人型
男仔頭,(沒有對應詞彙),
男界,男廁所,
男童院,(沒有對應詞彙),
南洋伯,(沒有對應詞彙),
南乳花生,五香花生,
南無,念經,
南無佬,道士,術士
難抵,難以忍受,受不了
難頂,難以忍耐,受不了
泥湴,爛泥,稀泥
泥鴨,旱鴨子,
泥水,砌磚抹牆的工作,
泥塵,灰塵,塵土
甩牙,大舌頭,
諗真,想清楚點兒,仔細想想
諗諗下,想來想去,反覆考慮
諗唔過,划不來,不划算
諗頭,值得考慮之處,
腍,(人)軟弱,過份善良
腍善,(沒有對應詞彙),
腍柿,柿子,
淰,(睡)熟,
撚手,精緻的,精心炮製的
,磨蹭,"黏糊(指行動緩慢,拖沓)"
懦,磨蹭,"黏糊(指行動緩慢,拖沓)"
黏黏,黏乎乎的,黏黏糊糊的
扭計師爺,狗頭軍師,專門出謀劃策的人
扭計骰,魔方,
扭計祖宗,(沒有對應詞彙),
扭耳仔,擰耳朵,
扭腰舞,搖擺舞,
扭,轉舵,
匿埋,藏起來,躲起來
你人,你們這些人,你們這幫人
五花腩,(沒有對應詞彙),
五行缺水,窮,生來沒錢
五窮六絕,"五月是窮途,六月是末路",
五柳魚,糖醋魚,
五五波,(沒有對應詞彙),
五蛇羹,(沒有對應詞彙),
牙呀仔,嬰兒,
牙鉸,下頜骨關節,
牙軟,牙根發軟,倒牙(吃了太多酸性食物後牙齒的不舒服感覺)
牙罅,牙縫兒,
牙屎,牙垢,
牙齒印,仇隙,夙怨
芽菜,豆芽兒,
瓦煲,砂鍋,
瓦背頂,房頂,房頂兒
瓦坑,瓦壟,瓦溝
瓦,較大的砂鍋,
瓦通紙,瓦楞紙,
掗,佔地方,礙事
嗌數,(沒有對應詞彙),
嗌通街,(沒有對應詞彙),
捱夜,熬夜,
呃呃騙騙,坑蒙拐騙,招搖撞騙
呃神騙鬼,到處向人行騙,
呃秤,(沒有對應詞彙),
key,合得來,
線,剛,剛剛好
聽,"(說的話)聽著順耳,有道理",
晏覺,午覺,
研船,藥碾子,
眼凸凸,瞪大了眼,目瞪口呆
眼,眨巴著眼的樣子,
眼花花,眼睛昏花,眼花繚亂
眼鏡髀,眼鏡腿兒,
眼角高,要求高,不容易看得上眼
眼掘掘,眼光含怒,
眼光光,睜著眼,沒合眼
眼挹毛,睫毛,眼睛毛兒
眼睛生響頭頂,眼睛生在頭頂上,
眼冤,感到討厭,反感
眼緣,(沒有對應詞彙),
眼,(沒有對應詞彙),
眼睩睩,怒目圓睜,眼珠子轉來轉去
眼眉毛,眉毛,
眼眉毛長,(沒有對應詞彙),
眼矇,老咪著眼的毛病,
眼矇矇,睡眼惺鬆的,眯縫著眼的樣子
眼濕濕,眼眶濕潤,眼淚汪汪的
眼坦坦,翻白眼(不含輕蔑他人之意),
硬係,就是,偏偏
硬晒,(沒有對應詞彙),
鴨仔團,旅行團,
餲,(尿)臊臭,臊味
拗腰,向後彎腰,板腰
拗頸,(脾氣),執拗
拗氣,鬥氣,
拗數,爭執,爭論
咬弦,配合默契,協調
咬唔入,咬不動,
咬唔入,佔不了便宜,打不了主意
矮凸凸,矮墩墩的,非常矮
翳,陰暗,昏暗
蟻,(沒有對應詞彙),
奄列,煎雞蛋,
暗渠,陰溝,
暗戀,(沒有對應詞彙),
扲,掏,
扲荷包,(沒有對應詞彙),
奀嫋鬼命,(沒有對應詞彙),
高,踮(腳),提起腳後跟
腳,(沒有對應詞彙),
銀雞,警笛,
銀雞,(沒有對應詞彙),
銀芽,(沒有對應詞彙),
銀錢,元,塊(錢)
罨汁,(沒有對應詞彙),
罨耷,(沒有對應詞彙),
岌岌貢,(不停地來回)動彈,晃動
嘔電,吐血,
牛白腩,(沒有對應詞彙),
牛記,牛頭褲,
牛高馬大,人高馬大的,
牛工,(沒有對應詞彙),
牛河,(沒有對應詞彙),
牛油,黃油,
牛油果,鱷梨,
牛,帶筋的牛腿肉,
牛肉乾,(沒有對應詞彙),
牛柳,牛裏脊肉,
牛,牛舌頭,
牛扒,牛排,
牛市,(沒有對應詞彙),
牛腸,牛肉腸粉,
牛王,橫行霸道,
餓過饑,餓過了勁兒,
外底,(沒有對應詞彙),
外賣,(沒有對應詞彙),
惡爺,惡少,
惡揗揗,兇巴巴的,
鱷魚潭,(沒有對應詞彙),
安家費,(沒有對應詞彙),
安老院,(沒有對應詞彙),
安全套,避孕套,
戇居居,傻里傻氣,傻頭傻腦
屋契,房地產證,
呢隻,這傢伙,
呢排,這陣子,這一陣
年生,年庚,生辰八字
年宵花市,(沒有對應詞彙),
擰轉,扭,轉
擰轉頭,扭頭,回頭
嫋嫋瘦瘦,瘦瘦長長的,細細長長的
借尿遁,(沒有對應詞彙),
糯米,(沒有對應詞彙),
糯米屎忽,(沒有對應詞彙),
女仔之家,女孩子家,
女界,女廁所,
女童院,(沒有對應詞彙),
內鬼,內奸,內部吃扒外的人
耐唔耐,久不久,偶爾
耐唔中,偶爾,間或
腦囟,囟門,
,(臉色)黑,陰沉
暖水袋,熱水袋,
扒頭,超越,搶到別人前頭
爬格仔,寫稿,
派街坊,(沒有對應詞彙),
派籌,(沒有對應詞彙),
派彩,對買彩票中獎者分發獎金,
拍得住,比得上,
拍紙簿,沒有格子的本子,
拍友,(沒有對應詞彙),
拍心口,拍胸口,拍胸脯
拍烏蠅,"(店員沒事可幹,只好拿著蒼蠅拍)打蒼蠅。",
泊車,停放車輛,
,白鐵桶,白鐵罐
□,啪,啪嚓
棚架,(建築用的)腳手,
拍,同伴,伙伴
炮製,收拾,折騰(多用於對小孩)
刨書,啃書本,
批中,估計到,預計到
頻頻撲撲,奔波勞碌,東奔西忙
牌,撲克,撲克牌
披頭士,甲殼蟲樂隊,
皮費,經營的費用,維持費
皮草,毛皮服裝,
被竇,被窩,
擗炮,(沒有對應詞彙),
平沽,廉價出售,
呯,(沒有對應詞彙),
片糖,片狀的紅糖,
撇,潲,
嫖賭飲吹,吃喝嫖賭,
撲飛,四處想辦法找票,搶購門票
撲料,(記者)到處搜尋新聞素材,(為某種目的)搜集材料
撲水,到處籌款,調頭寸
甫士,姿勢,
鋪草皮,(沒有對應詞彙),
舖頭,舖子,商店
仆街,死在路上,死在街上
判頭,包工頭,
盤,筆,門
盤口,買賣的價格,
沙梨,糖梨,
沙灘老鼠,(沒有對應詞彙),
沙田柚,(沒有對應詞彙),
沙茶醬,(沒有對應詞彙),
沙塵白霍,(沒有對應詞彙),
砂煲,砂鍋,
砂煲罌,罐罐,鍋碗瓢盆
砂盆,瓦盆,
紗紙,文憑,畢業證或學位證書
心機,枉費心機,白費心思、力氣
晒士,尺寸,尺碼
晒命,炫耀自己,
曬蓆,生意清淡,門可羅雀
三隻手,小偷,扒手
三字經,(沒有對應詞彙),
三幅被,(沒有對應詞彙),
三急,(沒有對應詞彙),
三個骨,(沒有對應詞彙),
三個女人一個墟,三個女人一台戲,
三行,(沒有對應詞彙),
三級片,(沒有對應詞彙),
三缺一,(打麻將)缺一個人,
三文魚,鮭魚,大馬哈魚
三粒星,香港永久性居民身份證,
三唔識七,完全沒有關係,互不認識
三蛇羹,(沒有對應詞彙),
三衰六旺,(運氣)有好有壞,(人生)沉浮興衰
三索,(沒有對應詞彙),
三叉蘇,多用插座,
三圍,(沒有對應詞彙),
衫架,衣架,晾衣架
衫腳,(衣服的)下襬,
衫裙,連衣裙,
衫鈕,(衣服)扣子,鈕扣
山大斬埋有柴,(沒有對應詞彙),
山頂,(沒有對應詞彙),
山寨廠,(沒有對應詞彙),
山雞,野雞,雉
山窿,山洞,
山泥傾瀉,斜波上的土石大量滑下,
山水有相逢,人生總有相逢之時,
山瑞,(沒有對應詞彙),
山草藥,草藥,
閂死,阻止對方帶球的隊員突破,
散仔,打雜的,跑腿的
散銀,(沒有對應詞彙),
散收收,鬆鬆散散的,零零散散的
散手,本領,本事
散檔,結束,(商家)停業
生暴,陌生,面生
生仔冇屎忽,生個孩子沒屁眼兒,
生仔唔知仔心肝,"兒子是我生的,可他的心思我也不知道",
生,患皮膚病,
生貓入眼,(沒有對應詞彙),
生招牌,活招牌,活廣告
生膠,一種半透明的橡膠,
生滾,(沒有對應詞彙),
生果金,(沒有對應詞彙),
生意佬,商人,買賣人
生曬,(沒有對應詞彙),
生蛇,生帶狀疹,
生抽,(沒有對應詞彙),
省港旗兵,(沒有對應詞彙),
霎氣,操心,掛慮
霎戇,犯糊塗,犯傻
,熬,煮
熠熟狗頭,煮熟的狗頭,
殺起,堅決完成(任務),下決心幹
煞掣,剎車,停車
餿水,泔腳,
西瓜刀,(沒有對應詞彙),
西斜,西曬,
犀飛利,厲害,
使費,(沒有對應詞彙),
使頸,使性子,耍脾氣
使乜,沒必要,不需要
使乜講,那還用說,還用得著說嗎
洗大餅,洗碟子,
洗底,(沒有對應詞彙),
洗腳唔抹腳,(沒有對應詞彙),
洗黑錢,(沒有對應詞彙),
洗衫板,搓板,
洗濕個頭,已經下水,
洗胃,(沒有對應詞彙),
世界波,世界一流的球技,
細膽,膽小,
細姐,庶母,
細個仔,小孩子,
細蚊仔,小娃娃,小孩
細粒,體型矮小,小粒(兒)
細時,小時候,
細食,飯量少,吃得少
勢凶夾狼,氣勢洶洶,
勢凶夾狼,胃口大,野心大
誓願當食生菜,(沒有對應詞彙),
塞豆窿,小孩兒,小傢伙
心多多,三心兩意,
心口針,胸針,
心意咭,(沒有對應詞彙),
心郁郁,動心,心裏癢癢
心水,心意,心願
心水,心智,頭腦
身紀,身孕,
辛苦搵自在食,辛辛苦苦掙錢,就得吃得舒服自在點兒
新地,(沒有對應詞彙),
新丁,新加入的人,
新紮,新近紅起來的,新崛起的
新血,新的血液,
新奇士,(沒有對應詞彙),
新新豬肉,(沒有對應詞彙),
新郎哥,新郎倌,新姑爺
新年頭,(沒有對應詞彙),
新牌,領取執照不久的,
新屎坑,三日香,
神主牌,祖宗牌位,親人的靈牌
神又係佢鬼又係佢,(沒有對應詞彙),
神,有毛病,靠不住的東西
神神地,不正常,有毛病
神神經經,精神有點不正常的樣子,
神仙肚,"能捱餓,似乎不用吃飯的肚子",
神台貓屎,神憎鬼厭,
濕滯,有阻力,有麻煩
濕貨,(沒有對應詞彙),
濕熱,腸胃不適,消化不良
濕水炮仗,(沒有對應詞彙),
十字車,救護車,
十字鋤,鎬頭,十字鎬
十足十,百分之百,一模一樣
十畫未有一撇,八字還沒一撇,
失婚,離了婚的,夫妻離異的
失失慌,(沒有對應詞彙),
失蹄,打前失,
膝頭哥,膝蓋,膊楞蓋兒
實枳枳,密密實實的,
收得,賣座,入座率高
收檔,停止營業,收攤兒
收檔,收起來,別再幹了
收樓,(沒有對應詞彙),
收買人命,殺人,要人的命
收買佬,收買破爛的,
收銀員,收款員,
收山,指退休,不再幹原來從事的職業
收數,"收回債款,欠款",收債
手多多,多手多腳,
手指罅疏,手指縫太寬,
手指模,指印,指模
手作,手工技藝,
手作仔,手藝人,
手機,手提電話,
手痕,手癢,技癢
手尾,善後,收尾工作
手硬,手僵,
手硬,夠手段,有能耐
手坳,肘窩,
手疏,手鬆,花錢大手大腳
手提電話,(沒有對應詞彙),
手揗腳震,手腳發抖,
守行為,(沒有對應詞彙),
首本,演員最拿手的代表劇目,
首期,(沒有對應詞彙),
受薪,支取薪水,
壽,傻,笨
壽仔,傻小子,白癡
壽司,飯團,
壽頭,傻瓜,
寫真,裸體照片,
蛇都死,無可挽救了,甚麼辦法也不行啦
蛇果,(沒有對應詞彙),
蛇喱眼,斜眼,
蛇鼠一窩,(沒有對應詞彙),
蛇頭,(沒有對應詞彙),
蛇頭鼠眼,賊眉鼠眼,
舍監,(沒有對應詞彙),
死火,耽擱下來,半途而廢
死雞撐飯蓋,(沒有對應詞彙),
死估估,呆板,死板
死氣喉,(沒有對應詞彙),
死人,壞了,糟了
死絕種,(沒有對應詞彙),
死妹釘,死丫頭,
死唔斷氣,(說話)斷斷續續,有氣無力
死死下,垂頭喪氣,
死死氣,勉為其難地,勉強地
死纏爛打,纏著不放,纏繞不休
四便,四周,周圍
四方木,(沒有對應詞彙),
石春,卵石,卵石
聲大夾冇準,大聲胡說,
聲線,(嗓子的)音色,
腥,腥腥的,
成世,一生,一輩子
成村人,整個村子的人,
私伙,屬於自己個人的東西,
私家,私人的,私有的
私己,私房錢,
私隱,"個人的私生活,秘密",
思思縮縮,鬼頭鬼腦的,探頭探腦的
思縮,拘束,拘謹
師太,(沒有對應詞彙),
斯文淡定,"斯文,鎮定",
屎波,球藝很差,
屎窟鬼,兩面三刀的人,口蜜腹劍的人
屎窟窿,屁眼兒,肛門
試鏡,(沒有對應詞彙),
試過,曾有過,曾出現過
時哩沙啦,喊哩喀喳,稀里嘩啦
時年,年成,年頭兒
市虎,汽車,
士多,小商店,商店
士多啤梨,草莓,
士多房,(住宅內的)儲藏室,貯物室
士力,蟲膠漆,清漆
士碌架,檯球,
侍仔,(男性)服務員,
侍應,服務員,
侍應生,服務員,
是非根,男性生殖器,
豉汁,豆豉汁,
息口,利息,
識做,會做人,知趣
識飲識食,懂得吃喝,懂得美食之道
識認,標記,特殊的記號
識撈,會掙錢,會鑽營
識穿,識破,
食霸王飯,(沒有對應詞彙),
食白果,(沒有對應詞彙),
食得鹹魚抵得渴,(沒有對應詞彙),
食得禾米多,(沒有對應詞彙),
食豆腐,(沒有對應詞彙),
食詐糊,(沒有對應詞彙),
食家,美食家,精於飲食的人
食經,(沒有對應詞彙),
食穀種,吃老本,
食過番尋味,嘗過美食之後還想再嘗嘗,
食療,(沒有對應詞彙),
食螺螄,指(演員等)說話含糊,口齒不清
食貓麵,挨罵,被訓斥
食尾糊,(沒有對應詞彙),
食偏門,(沒有對應詞彙),
食生菜,(沒有對應詞彙),
食塞米,白吃飯,
食屎屙飯,(沒有對應詞彙),
食水深,賺得太狠,要錢要得太狠
食拖鞋飯,(沒有對應詞彙),
食七咁食,拼命吃,狼吞虎咽
食皇家飯,進監獄,坐牢
食糊,和牌,
簷篷,屋簷,
仙屎,銅子兒,子兒
先排,前一陣子,前些日子
鮮甜,(味道)鮮,鮮美
線報,線人所提供的報告,情報
線步,針腳,縫線
線人,情報員,
線眼,眼線,
線衫,(針織的)汗衫,
煽情,有煽動性的,
,害,陷害
善長仁翁,(沒有對應詞彙),
善款,(沒有對應詞彙),
星級人馬,(沒有對應詞彙),
星媽,明星的媽媽,
星探,物色影視演員的人,
星運,當明星以後的運氣,"從事影,視,歌事業後的運氣"
醒定,留心,當心
醒目仔,小機靈,機靈鬼
醒水,警覺,察覺
醒胃,令人開胃,開胃
姓賴,(沒有對應詞彙),
性事,男女間性行為,
性騷擾,(沒有對應詞彙),
性侵犯,(沒有對應詞彙),
勝出,獲勝,
成行成市,(沒有對應詞彙),
成人電影,兒童不宜觀看的電影,
承你貴言,(沒有對應詞彙),
攝,塞,插
攝灶罅,塞進灶底下,
攝鐵,磁鐵,
攝青鬼,(沒有對應詞彙),
消滯,消食,
消防喉,消防水龍頭,消防水管
宵夜,吃夜宵,(用)……做夜宵
燒烤,烤東西吃,
燒肉,烤豬切出來的肉,
燒臘,燒烤醃臘熟食,
燒味,(沒有對應詞彙),
小人蛇,偷渡的少年兒童,
小兒科,小意思,
小輪,(沒有對應詞彙),
小數怕長計,(沒有對應詞彙),
少東,少東家,
笑到碌地,笑得在地上打滾,
笑口棗,開口笑,
笑口吟吟,笑吟吟的,
笑甩棚牙,笑掉大牙,
梳打,蘇打,碳酸鈉
梳化,沙發,
梳芙,享樂,享受
梳起,(沒有對應詞彙),
疏籬,眼兒較疏的竹篩子,
傻仔,傻瓜,傻小子
傻更,傻,傻瓜
傻人,傻瓜,
傻傻更更,傻乎乎的,傻里傻氣的
徇眾要求,遵照群眾的要求,
筍,好東西,
馴品,(性情)溫順,馴良
順得哥情失嫂意,"聽了哥哥的,就得惹惱嫂嫂",兩邊不討好
順檔,順當,順利
商住兩用,"作商業,住宅兩種用途均可(的單元)",
商務午餐,(邊吃飯邊洽談商務的)工作午餐,
雙格床,雙層床,架子床
雙行,用雙線間隔成的行,
雙皮奶,甜奶酪,
雙體船,(沒有對應詞彙),
相架,裝相片的鏡框,
相士,算命先生,給人看相的人
想唔……都幾難,不……不行,非……不可
上電,(喻)吸食毒品,充電
上鏡,出現於鏡頭上,上電視
上契,認乾親,
上岸,發財,
上湯,(沒有對應詞彙),
恤髮,(沒有對應詞彙),
衰,失敗了,
衰公,缺德鬼,下流痞子
衰女,死丫頭,小賤人
衰女包,死丫頭,小賤人
衰婆,缺德女人,賤貨
衰衰地,怎麼著也……,再不濟也……
衰衰噉,討厭,真壞
水吧,(沒有對應詞彙),
水鬼隊,(沒有對應詞彙),
水過鴨背,(沒有對應詞彙),
水喉,自來水管,水龍頭
水喉,(喻)錢很多的人,富翁
水溝油,合不來,
水炮,高壓水龍,高壓水槍
水上新娘,(沒有對應詞彙),
水,水坑,水窪兒
水塘,水庫,
水汪,渺茫的,希望不大的
歲晚,年終,
誰不知,誰知,誰料得到
索油,(俗)吃豆腐,佔便(女人)便宜
嗍氣,喘氣,氣喘吁吁
爽手,麻利,利索
爽脆,(食物)脆,
騷,表演,演出
騷quali,(沒有對應詞彙),
數尾,尾數,
縮開,躲開,
縮埋一,縮成一團,縮成一堆
縮數,小算盤,
縮頭龜,縮頭烏龜,
熟食檔,街上賣熟食的小攤檔,
鬆骨,揍,
鬆婄,宣,鬆軟
鬆□□,鬆鬆垮垮的,鬆鬆散散的
送檢,(出版物或電影等)送有關部門檢查,
書友,(沒有對應詞彙),
書蟲,書呆子,蛀書蟲
輸蝕,差,差勁
薯,笨,
樹大有枯枝,(沒有對應詞彙),
酸宿爛臭,難聞的酸臭味,
損爛,破損,
損手爛腳,手腳都有傷,手腳都摔破了
蒜子肉,田雞的大腿肉,
雪糕批,冰棍狀的冰淇淋,
雪糕筒,(沒有對應詞彙),
雪櫃,冰箱,電冰箱
雪耳,銀耳,白木耳
雪褸,棉猴兒,皮猴兒
雪帽,風帽,
太子黨,(沒有對應詞彙),
太子爺,少東家,
太空人,宇宙飛行員,
太空穿梭機,航天飛機,
太平紳士,(沒有對應詞彙),
貪口爽,(沒有對應詞彙),
貪威識食,(沒有對應詞彙),
探班,(沒有對應詞彙),
探路,(沒有對應詞彙),
痰上頸,(沒有對應詞彙),
談判專家,(沒有對應詞彙),
淡茂茂,淡而無味的,
攤直,(諧)死,
攤位遊戲,(沒有對應詞彙),
碳紙,複寫紙,
嘆世界,享受生活,享清福
撻定,(沒有對應詞彙),
睇白,看得出,可以斷定
睇辦,看樣品,看樣本
睇定,看準,看清楚
睇真,看真切,看準
睇症,看病,診治
睇法,看法,
睇街症,到醫院門診部看病,
睇更,看更,守夜
睇醫生,看病,找醫生
睇唔開,想不開,
睇門口,備用,看門兒
睇死,料定,斷定
睇死,看死了,看扁
睇小,小看,看輕
睇相,看相,相面
睇衰,瞧不起,輕視
睇食飯,看菜吃飯,
睇頭睇尾,(沒有對應詞彙),
睇錢份上,看在錢的份上,
體能,體力,
剃眼眉,使人當眾出醜,
提款機,(沒有對應詞彙),
,哄,哄騙
,坑,
吞拿魚,金槍魚,
吞槍,用槍自殺,
揗,徘徊,(來回)走動
揗雞,手忙腳亂,手足無措
藤,藤箱,
藤條,(沒有對應詞彙),
偷薄,(把頭髮)剪薄,削薄
偷師,偷學,請教
偷笑,(私下)慶幸,
透大氣,深呼吸,喘大氣
頭,上司,領導者
透明度,物體透明的程度,
投懷送抱,(沒有對應詞彙),
頭崩額裂,頭破血流,
頭大,頭昏腦脹,心煩意亂
頭大冇腦,頭雖大但腦袋不卻不靈,
頭耷耷,低著頭,低著腦袋
"頭耷耷,眼濕濕",耷拉著腦袋眼淚汪汪的,
頭殼頂,頭頂,頭頂上
頭箍,(沒有對應詞彙),
頭蠟,髮蠟,
頭鑼,開場鑼鼓,
頭,(沒有對應詞彙),仰著腦袋
頭擰擰,搖頭,
頭擰擰,東張西望的,
頭頭,開頭,起先
踢波,踢球玩,踢足球
踢竇,(沒有對應詞彙),
艇仔,(沒有對應詞彙),
艇屋,(沒有對應詞彙),
剔手邊,提手旁兒,剔手旁兒
添飯,加(一碗)飯,(再)盛飯
甜品,即甜食,
甜曳曳,(沒有對應詞彙),
甜心,(沒有對應詞彙),
天婦羅,(沒有對應詞彙),
天腳底,天底下,天邊
天生天養,(沒有對應詞彙),
天時熱,熱天,天熱時
天時冷,冷天,天冷時
天時暑熱,天氣炎熱,
天仙局,以色相佈局行騙,
天體營,(沒有對應詞彙),
天皇巨星,(沒有對應詞彙),
田雞東,(沒有對應詞彙),
田雞過河,(沒有對應詞彙),
聽朝早,明早,明天早上
停牌,(沒有對應詞彙),
貼士,小費,
貼士,小道消息,內幕消息
貼紙,(沒有對應詞彙),
貼堂,(沒有對應詞彙),
鐵枝,鐵枝兒,
鐵嘴雞,(沒有對應詞彙),
鐵腳馬眼神仙肚,(沒有對應詞彙),
鐵拐李打足球,(沒有對應詞彙),
鐵騎士,摩托車手,
挑通眼眉,(沒有對應詞彙),
跳樓貨,賣不出去的貨,削價出售的貨
條氣唔順,吞不下那口氣,心中憋氣
條命凍過水,(沒有對應詞彙),
拖地,(沒有對應詞彙),
拖,(沒有對應詞彙),
拖手仔,(指)談戀愛,
拖蘇,即活動插座,
佗衰,牽累,"或影響別人聲譽,連累別人倒霉"
佗衰家,(沒有對應詞彙),
佗佗擰,團團轉,
