粵語,標準漢語1,標準漢語2
羅漢齋,一道著名素菜,
羅漢,(沒有對應詞彙),
羅經,(沒有對應詞彙),
蘿蔔,一種蔬菜,
蘿蔔花,一種眼病,
蘿蔔刨,擦絲器,
蘿蔔頭,(沒有對應詞彙),日本人
蘿蔔潤,鹹蘿蔔乾,
籮,竹編的籮筐,小手提籃子
籮底橙 ?,比喻剩貨,次貨
籮,(沒有對應詞彙),
鑼,(沒有對應詞彙),
鑼鼓手,(沒有對應詞彙),
,討,要
意頭,取好兆頭,討彩頭
苦來辛,自找苦吃,
來做,不必做而做,做不必做的事情
來笑,(沒有對應詞彙),
來講,(沒有對應詞彙),
彩,增光,露臉
便宜,佔便宜,找便宜
命,要命,討命
景,揶揄,
左手便,左邊,
左口魚,比目魚,偏口魚
左右,(不是粵方言詞),
左近,附近,
阻事,費時間,耽誤事
阻滯,擋道,障礙
阻頭阻路,擋道,妨礙
,了,
坐定粒六,確定,肯定
坐向,(房屋的)坐落方向,
坐食山崩,坐吃山空,
座,(沒有對應詞彙),
座地燈,落地燈,
座地風扇,落地電扇,
座鐘,(不是粵方言詞),
初初,起初,早先
初哥,新手,不熟練者
初來暴到,新來乍到,
初生蛋,(沒有對應詞彙),
初一流流,(沒有對應詞彙),
搓,(沒有對應詞彙),
搓圓扁,(沒有對應詞彙),
鋤,用鋤頭勞作,
鋤頭,(沒有對應詞彙),
坐霸王車,坐車不買票,
坐夜,(沒有對應詞彙),
坐櫃面,(指)店鋪掌櫃,
坐監,蹲監獄,坐牢
坐穩車,(沒有對應詞彙),
坐穩船,(沒有對應詞彙),
坐正,扶正,
坐定定,坐得很安穩,
坐月,坐月子,
錯,錯誤,
錯手,失手,
錯有錯著,(沒有對應詞彙),
錯,巧遇的便宜事,
錯見,失策,沒見識
錯蕩,(客氣話),
梭仔,(沒有對應詞彙),
梭心,(沒有對應詞彙),
梳,梳子,
梳化椅,軟椅,沙發椅
梳打,純,蘇打
梳打水,水,
梳刷,(沒有對應詞彙),
梳,梳理,
梳西裝,男性留分頭,
梳辮,梳理髮辮,
梳粧,鏡檯,
梳粧盒,(沒有對應詞彙),
唆擺,挑唆,挑撥
疏,稀疏,不密
疏疏列列,(編織物)稀疏貌,
疏堂,堂房,叔伯(之間的關係)
疏爽,慷慨,手頭大方
疏殼,漏勺,
蓑衣,(不是粵方言詞),
傻,(不是粵方言詞),
傻瓜,(不是粵方言詞),
傻瓜瓜,有些傻氣,
傻傻,傻里傻氣,
傻傻更更,傻呵呵的,傻乎乎的
傻傻戇戇,呆傻貌,
瑣碎,(不是粵方言詞),
鎖,鎖(門),用鎖把門等關住
鎖匙,鑰匙,
鎖匙窿,鑰匙孔,鎖眼兒
鎖紐門,鎖紐扣眼兒,
鎖鏈,鎖物用的鏈子,
哥,兄長,
哥哥,兄長,
哥仔,小青年,小伙子
歌,(不是粵方言詞),
歌紙,(不是粵方言詞),
歌仔,(不是粵方言詞),
歌柄,(不是粵方言詞),
,(指示代詞),
,那些,
時,那時候,
處,那裏,那兒
牌,那陣子,前些日子
位,那位,那一位
兜友,那個家伙,
頭,那頭,那邊
頭近,(指)病入膏肓,眼看快要死了
陣,那時候,那會兒
笪,那塊,那片
日,那天,
個把,一個多,
個頭,人的個子,塊頭
蛾眉月,新月,月牙兒
鵝,一種家禽,
鵝花,初出殼的小鵝,
鵝扶翅,(沒有對應詞彙),
鵝蛋口面,鵝蛋形的臉,
鵝蛋粉,(沒有對應詞彙),
鵝蛋形,橢圓形,
鵝春石,鵝卵石,
鵝公喉,嗓音似鵝叫,
鵝朴,半大的鵝,
我,我的,
我地,我們,
我地,我們的,
底,做內應,
鋪,(沒有對應詞彙),
餓,肚子飢餓,
餓貓,比喻飢餓的人,
餓狗搶屎,(沒有對應詞彙),
苛刻,(不是粵方言詞),
何來,何苦,何必
河,河流,
河,沙河粉,
河流,貪嘴,饞
河口絲,(沒有對應詞彙),
河粉,沙河粉,
荷包,(不是粵方言詞),
荷包茄,茄子的一種,
荷包仔,扒手,
荷包倒吊,(指)亂花錢,揮霍
荷包蛋,(不是粵方言詞),
荷包亂揈,揮霍錢財,花錢無度
荷蘭豆,(沒有對應詞彙),莢用豌豆
荷蘭水樽,(沒有對應詞彙),
荷倌,(沒有對應詞彙),
賀,(不是粵方言詞),
賀喜,(不是粵方言詞),
賀年咭,賀年片,
阿哩吉諦,胡亂,糊里糊塗
阿彌陀佛,(不是粵方言詞),
屙,排泄,拉
屙馬蹄屎,(沒有對應詞彙),
屙肚,瀉肚,拉肚子
屙尿唔上壁,舊時罵婦女用,
屙尿遞草紙,喻行事不當,
屙扽,拉屎,大便
屙渜,拉稀屎,
屙羊咩屎,便秘,
屙遏尿,小便不暢,
,撅,隆起
果蔗,(沒有對應詞彙),
果子狸,(不是粵方言詞),
果欄,水果批發行,水果批發店
過河卒,象棋術語,
過意唔去,過意不去,
過唔去,故意刁難,
過樹榕,一種毒蛇,
過街過巷,走街串巷,四處串門
過費,破費,
過底紙,複寫紙,
過禮,(沒有對應詞彙),
過世,死亡,逝世
過繼,(沒有對應詞彙),
過氣,(沒有對應詞彙),
過海,過較寬的河流,
過埠,出洋,去外國
過頭,(沒有對應詞彙),
過頭笠,套頭的,長袖套頭衫
過手,經手,
過造,(沒有對應詞彙),
過橋抽板,過河拆橋,
過山香,一種香蕉,
過山峰,毒蛇名,
過身,去世,
過雲雨,陣雨,短時陣雨
過冬,專指過冬至節,
過冬,度過冬天,
過籠,過頭,超過
過骨,過得硬,到家
過節,過節日,
窩,(不是粵方言詞),
窩參,(不是粵方言詞),
窩釘,(不是粵方言詞),
禾花雀,寒雀,
禾杈髀,(喻)堂兄弟,(喻)叔伯兄弟
禾鐮,鐮刀,
禾稈,稻子,稻草
禾稈珍珠,(沒有對應詞彙),
禾田,稻田,
禾蟲,疣吻沙蚕,
禾雀,寒雀,
和事酒,(沒有對應詞彙),
和尚,(不是粵方言詞),
和揖,親近(別人),
涴,壞,不新鮮
涴蛋,散黃的蛋,臭蛋
咪咪摸摸,磨磨蹭蹭,動作慢
,表示略微,表示這些或那些
打,嗩吶的俗稱,
多,一點點,數量很少
,(沒有對應詞彙),
,長短不齊,大小不一
,饒舌,
咁多,一點兒,極少
震,發抖,打哆嗦
呢,這,
呢處,這裏,這兒
呢世人,這一輩子,
呢勻,這次,這一回
呢便,這邊兒,這邊
呢樣,這一種,
呢粒,(沒有對應詞彙),
呢笪,這塊(地方),
呢一牌,這些日子,近來
呢一,這一陣子,近來
哩哩啦啦,做事馬虎,
芝士,乾奶酪,奶酪
,(沒有對應詞彙),植物上長的蚜蟲
之先,之前,
之不過,不過,
支支繃繃,不平整,不整齊
支離,閃爍其詞,
支繃,花銷,開銷
支窒,推讓,
吱喳,好談論是非,搬弄口舌
吱喳,多嘴,饒舌
枝,(不是粵方言詞),
枝竹,(沒有對應詞彙),
知微,錙銖必較,心眼小
知微麻利,自私自利,損人利己
知唔知,一知半解,
知死,知道利害,
知機,有預見性,能應變
知頭唔知尾,(沒有對應詞彙),
知醜,懂得羞恥,
知到,知道,
知衰,知道好歹,
知慳識儉,(沒有對應詞彙),
知冷知熱,(沒有對應詞彙),
知碇,(沒有對應詞彙),
知醒,(沒有對應詞彙),
知實,確信,確認
知日,(沒有對應詞彙),
知客,(不是粵方言詞),
姿整,打扮,裝扮
脂麻,(不是粵方言詞),
脂麻綠豆,雞毛蒜皮,(喻)小事情
滋滋味味,津津有味,
滋滋悠悠,慢悠悠地,慢條斯理
滋事,(不是粵方言詞),
滋味,津津有味,味道好
滋悠,慢條斯理,不慌不忙
子喉,花旦腔,
子薑,嫩薑,
子侄,泛指後輩,
姊妹,姐妹,
指指彈彈,評頭品足,指著發議論
指倚,指望,妄想
指手擉腳,指手畫腳,
指天椒,一種小辣椒,
指天擉地,誇誇其談,
指冬瓜話葫蘆,(沒有對應詞彙),
指甲水,指甲油,
指甲鉗,指甲刀,
紙,(沒有對應詞彙),
紙下爬,(沒有對應詞彙),
紙皮,馬糞紙,紙版
紙條,(沒有對應詞彙),
紙鷂,風箏,
紙紮,迷信品,
紙紮公仔,紙糊的人物,
紫洞艇,(沒有對應詞彙),
至多,(不是粵方言詞),
至好,最好,
至得,才行,才成
痣,(不是粵方言詞),
置業,購置產業,
寺門,寺院,廟宇
自把自為,自作主張,不聽人勸
自梳女,終身獨身的女子,
自己,(不是粵方言詞),
自己死,自找死路,作死
自己友,自己人,
自來水,(不是粵方言詞),
自斟自飲,獨自飲酒,
自彈自唱,(喻)自己提議,(喻)自己贊成
自搵自食,(沒有對應詞彙),
自然,不局促,不呆板
自乜來由,何苦來,
字鎖,號碼鎖,
字號,(不是粵方言詞),
字粒,鉛字,印刷用鉛字
字格,(沒有對應詞彙),
字墨,文章,學問
治,整治,苛待
趑車轉,轉來轉去,團團轉
黐,粘,黏
黐家,(沒有對應詞彙),
黐牙罅,塞牙縫,
黐黐,黏黏糊糊,
黐手黐腳,(沒有對應詞彙),
黐筋,精神不大正常,腦子混亂不清
黐纏,纏綿,
黐,電話線串線,以致打錯
黐腳,(沒有對應詞彙),
祠堂,(沒有對應詞彙),
瓷不扻瓦,(沒有對應詞彙),
匙羹,匙子,小勺兒
雉雞尾,野雞翎,
雉雞尾扇,翎毛扇,
辭仙,(沒有對應詞彙),
辭工,(沒有對應詞彙),
柿,柿子,
欼,(沒有對應詞彙),
褫,撕扯,拉扯(衣服)
似,相似,像
似模似樣,相似,
似樣,像樣,像話
恃,(不是粵方言詞),
恃老賣老,倚老賣老,
私家,私人,
私己,私蓄,體己錢
師爺,(沒有對應詞彙),
師爺鬚,指稀疏的鬍子,
師父,(沒有對應詞彙),
師傅,有手藝的人,
師傅尺,泥水匠用的尺,
師姑,尼姑,
師太,老尼姑,
師奶,太太,夫人
師弟,(沒有對應詞彙),
師公,師父的師父,
斯文倓定,斯文而鎮定,不慌不忙
絲瓜刨,削絲瓜皮的工具,
絲絲,零零碎碎,挑剩下的
絲苗米,(沒有對應詞彙),
絲髮,(沒有對應詞彙),
獅子,(沒有對應詞彙),
獅子魚,一種海魚,
獅頭鵝,鵝的一種,
撕,(不是粵方言詞),
時時,(不是粵方言詞),
時菜,應時的蔬菜,
時候,(不是粵方言詞),
時髦,(不是粵方言詞),
時文,話語,
時辰鐘,鐘,
時辰八字,生辰八字,
時年,年頭兒,
時款,樣子時髦,款式入時
時興,(不是粵方言詞),
時不時,不時,時常
屎,糞,
屎皮,質量差,水平低
屎埠,糞霸(口),
屎淋尿瀨,屁滾尿流,
屎滾尿流,屁滾尿流,
屎片,尿布,臀圍
屎坑蟲,糞蛆,蛆
屎艇,(沒有對應詞彙),
屎急,憋著大便,急於大便
屎,(喻)躍躍欲試,
嗜好,特殊的愛好,喜好
試味,嘗一下味道,
試飯碗,試工的俗稱,
試身,(沒有對應詞彙),
試工,(沒有對應詞彙),
事例,規矩,俗例
事頭,主人,
事頭婆,掌櫃的老婆,內掌櫃的
事關,因為,
事幹,事情,事兒
侍仔,招待員,服務員
是處,最後,
是非竇,製造是非者,搬弄是非者
是非啄,好搬弄是非者,是非窩
是但,隨便,兩可
是必,必定,必須
豉油,醬油,熟抽
豉汁,豆豉汁,
伊府麵,(沒有對應詞彙),
咿咿哦哦,欲言又止,
咿咿呶呶,(沒有對應詞彙),
咿咿咠咠,私語,竊竊私語
衣,皮兒,
衣架,(不是粵方言詞),
衣車,縫紉機,
衣紙,(沒有對應詞彙),
衣櫃,(不是粵方言詞),
衣料,(不是粵方言詞),
衣夾,(沒有對應詞彙),
依時依候,按時,
依傍,(不是粵方言詞),
醫院,(沒有對應詞彙),
醫生,大夫,
而家,現在,這會兒
兒嬉,不實在,靠不住
宜得,樂得,
姨媽姑姐,七大姑八大姨,
姨仔,小姨子,
姨表,(不是粵方言詞),
姨丈,姨夫,姨父
